book_title,book_authors,book_format,book_isbn,book_pages,book_rating,book_rating_count
Heist Society,Ally Carter,Hardcover,978315742698,287 ,3.91,83009
Faith of the Fallen,Terry Goodkind,Mass Market Paperback,978315742699,785 ,4.12,59721
Horton Hears a Who!,Dr. Seuss,Paperback,978315742700,64 ,4.17,87232
Lord Jim,Joseph Conrad,Paperback,978315742701,455 ,3.62,24619
Raintree County,Ross Lockridge Jr.,Paperback,978315742702,1088 ,3.96,860
Dream Caster,NR Nada,Paperback,978315742703,362 ,4.15,179
The Surgeon,Tess Gerritsen,Paperback,978315742704,416 ,4.1,111273
Sunshine,Robin McKinley,Mass Market Paperback,978315742705,405 ,3.85,32956
The Body Finder,Kimberly Derting,Hardcover,978315742706,327 ,3.96,46908
Smaragdgrün,Kerstin Gier,Hardcover,978315742707,482 ,4.2,54272
The Mill on the Floss,George Eliot|A.S. Byatt,Paperback,978315742708,579 ,3.78,43287
In Search of Lost Time,Marcel Proust|C.K. Scott Moncrieff|Andreas Mayor|Terence Kilmartin|D.J. Enright|Richard Howard,Boxed Set,978315742709,4211 ,4.34,8561
Vampire Princess Rising,Jami Brumfield,Paperback,978315742710,326 ,4.35,218
Shadowland,Meg Cabot,Mass Market Paperback,978315742711,287 ,4.04,57495
Child 44,Tom Rob Smith,Mass Market Paperback,978315742712,509 ,4.09,61983
"Alas, Babylon",Pat Frank,Paperback,978315742713,323 ,4.07,34449
For the Love of Armin,Michael   Kramer,Kindle Edition,978315742714,325 ,4.27,1082
Falling Up,Shel Silverstein,Hardcover,978315742715,178 ,4.33,117244
The Executioner's Song,Norman Mailer,Paperback,978315742716,1056 ,4.07,16472
Just One Day,Gayle Forman,Paperback,978315742717,369 ,4.01,72096
Night Play,Sherrilyn Kenyon,Mass Market Paperback,978315742718,362 ,4.35,46911
A Court of Mist and Fury,Sarah J. Maas,Hardcover,978315742719,624 ,4.69,196549
Circus of the Damned,Laurell K. Hamilton,Paperback,978315742720,320 ,4.16,83584
We the Living,Ayn Rand|Leonard Peikoff,Paperback,978315742721,464 ,3.9,24091
The Sneetches and Other Stories,Dr. Seuss,Paperback,978315742722,65 ,4.31,58991
Spells,Aprilynne Pike,Hardcover,978315742723,359 ,3.98,37832
The Diviners,Libba Bray,Hardcover,978315742724,578 ,3.97,57018
Never Fade,Alexandra Bracken,Hardcover,978315742725,507 ,4.3,60877
This Side of the Grave,Jeaniene Frost,Mass Market Paperback,978315742726,357 ,4.28,53082
Incarceron,Catherine Fisher,Paperback,978315742727,458 ,3.64,54227
Willow,Julia Hoban,Hardcover,978315742728,329 ,3.93,30811
Dark Visions,L.J. Smith,Paperback,978315742729,732 ,4.19,36456
The End of Eternity,Isaac Asimov,Mass Market Paperback,978315742730,192 ,4.22,36086
The House on Mango Street,Sandra Cisneros,Paperback,978315742731,110 ,3.6,99752
"Raise High the Roof Beam, Carpenters & Seymour: An Introduction",J.D. Salinger,Paperback,978315742732,256 ,4.11,42992
Rage of Angels,Sidney Sheldon,Paperback,978315742733,512 ,3.92,31971
Tangled,Emma Chase,Kindle Edition,978315742734,254 ,4.11,97201
Mateguas Island: A Novel of Horror and Suspense,Linda  Watkins,Paperback,978315742735,380 ,3.79,454
"Rich Dad, Poor Dad",Robert T. Kiyosaki,Paperback,978315742736,195 ,4,233722
I Am Malala: The Story of the Girl Who Stood Up for Education and Was Shot by the Taliban,Malala Yousafzai|Christina Lamb,Hardcover,978315742737,327 ,4.09,299512
Code Name Verity,Elizabeth E. Wein,Paperback,978315742738,452 ,4.06,77930
Stormbreaker,Anthony Horowitz,Paperback,978315742739,256 ,3.98,78333
These Happy Golden Years,Laura Ingalls Wilder|Garth Williams,Hardcover,978315742740,289 ,4.18,57983
A Widow for One Year,John Irving,Paperback,978315742741,576 ,3.75,53087
The Pickwick Papers,Charles Dickens,Paperback,978315742742,801 ,3.83,21772
The Hobbit: Graphic Novel,Chuck Dixon|J.R.R. Tolkien|David Wenzel|Sean Deming,Paperback,978315742743,133 ,4.48,159099
Station Eleven,Emily St. John Mandel,Hardcover,978315742744,336 ,4.03,231676
No Exit and Three Other Plays,Jean-Paul Sartre|Stuart Gilbert|Lionel Abel,Paperback,978315742745,275 ,4.1,24168
Follow the River,James Alexander Thom,Paperback,978315742746,406 ,4.21,16053
Xenocide,Orson Scott Card|Piotr W. Cholewa,Mass Market Paperback,978315742747,592 ,3.78,124495
Blood & Spirits,Dennis Sharpe,Paperback,978315742748,310 ,4.01,142
Os Maias,Eça de Queirós|Ester de Lemos,Paperback,978315742749,681 ,4,14210
One Thousand White Women: The Journals of May Dodd,Jim Fergus,Paperback,978315742750,434 ,3.88,102095
The Golem's Eye,Jonathan Stroud,Paperback,978315742751,562 ,4.1,78364
More Than This,Patrick Ness,Paperback,978315742752,480 ,4.01,38286
The City of Dreaming Books,Walter Moers|John Brownjohn,Paperback,978315742753,461 ,4.35,13241
Blue Moon,Laurell K. Hamilton,Mass Market Paperback,978315742754,418 ,4.05,57446
Sphere,Michael Crichton,Paperback,978315742755,371 ,3.79,146584
The Naming,Alison Croggon,Paperback,978315742756,492 ,4,22649
Good in Bed,Jennifer Weiner,Paperback,978315742757,376 ,3.71,264678
The Magicians,Lev Grossman,Hardcover,978315742758,402 ,3.5,192475
The Mammoth Hunters,Jean M. Auel|殷麗君,Paperback,978315742759,688 ,3.89,55237
The Reptile Room,Lemony Snicket|Brett Helquist,Paperback,978315742760,192 ,3.97,157042
Brida,Paulo Coelho|Montserrat Mira,Paperback,978315742761,264 ,3.47,59183
Franz Kafka's The Castle (Dramatization),David Fishelson|Aaron Leichter|Max Brod|Franz Kafka,Paperback,978315742762,59 ,4.09,25284
The Crimson Petal and the White,Michel Faber,Paperback,978315742763,835 ,3.88,33081
The Rum Diary,Hunter S. Thompson,Paperback,978315742764,224 ,3.83,46665
The Twits,Roald Dahl|Quentin Blake,Paperback,978315742765,96 ,3.95,97991
Batman: The Killing Joke,Alan Moore|Brian Bolland|Tim Sale,Paperback,978315742766,50 ,4.37,143667
First Drop of Crimson,Jeaniene Frost,Mass Market Paperback,978315742767,371 ,4.15,48636
Standing for Something: 10 Neglected Virtues That Will Heal Our Hearts and Homes,Gordon B. Hinckley,Paperback,978315742768,256 ,4.6,13656
The Electric Kool-Aid Acid Test,Tom Wolfe,Paperback,978315742769,416 ,3.92,62250
Let the Great World Spin,Colum McCann,Hardcover,978315742770,351 ,3.94,83988
Our Town,Thornton Wilder|Donald Margulies|Tappan Wilder,Paperback,978315742771,181 ,3.64,39461
Shadow Souls,L.J. Smith,Hardcover,978315742772,599 ,3.79,35234
Grave Mercy,Robin LaFevers,Hardcover,978315742773,549 ,3.91,82944
The Burning Bridge,John Flanagan,Hardcover,978315742774,262 ,4.3,90370
The Hundred Secret Senses,Amy Tan,Mass Market Paperback,978315742775,406 ,3.99,37404
Written on the Body,Jeanette Winterson,Paperback,978315742776,192 ,4.08,21574
Om Chanting and Meditation,Amit Ray,Kindle Edition,978315742777,113 ,4.58,342
What Dreams May Come,Richard Matheson,Paperback,978315742778,288 ,3.96,10095
The Hour I First Believed,Wally Lamb,Hardcover,978315742779,740 ,3.8,52820
The Rainmaker,John Grisham,Paperback,978315742780,419 ,3.92,150747
House Rules,Jodi Picoult,Hardcover,978315742781,532 ,4.02,128763
The Sword of Summer,Rick Riordan,Hardcover,978315742782,491 ,4.26,113714
At First Sight,Nicholas Sparks,Paperback,978315742783,204 ,3.81,70190
The Calvin and Hobbes Tenth Anniversary Book,Bill Watterson,Paperback,978315742784,208 ,4.63,49529
The Tea Rose,Jennifer Donnelly,Paperback,978315742785,675 ,4.19,28089
The Book of Three,Lloyd Alexander,Paperback,978315742786,190 ,4,63840
The House at Pooh Corner,A.A. Milne|Ernest H. Shepard,Hardcover,978315742787,180 ,4.36,73957
The Call of Cthulhu and Other Weird Stories,H.P. Lovecraft|S.T. Joshi,Paperback,978315742788,420 ,4.24,30154
Gates of Fire: An Epic Novel of the Battle of Thermopylae,Steven Pressfield,Paperback,978315742789,384 ,4.41,23655
Angelfire,Courtney Allison Moulton,Hardcover,978315742790,453 ,3.92,29259
Lord of Chaos,Robert Jordan,Mass Market Paperback,978315742791,1011 ,4.11,107509
Glass,Ellen Hopkins,Hardcover,978315742792,681 ,4.28,56642
At Swim-Two-Birds,Flann O'Brien|William H. Gass,Paperback,978315742793,239 ,3.91,10328
The Van Alen Legacy,Melissa de la Cruz,Hardcover,978315742794,369 ,3.95,62730
Buddenbrooks: The Decline of a Family,Thomas Mann|T.J. Reed|John E. Woods,Hardcover,978315742795,731 ,4.14,17712
Along Came a Spider,James Patterson,Paperback,978315742796,449 ,4.09,350363
What We Talk About When We Talk About Love,Raymond Carver,Paperback,978315742797,159 ,4.2,38151
The Testing,Joelle Charbonneau,Hardcover,978315742798,325 ,4.05,49530
Wild: From Lost to Found on the Pacific Crest Trail,Cheryl Strayed,Hardcover,978315742799,315 ,3.98,491941
To Say Nothing of the Dog,Connie Willis,Mass Market Paperback,978315742800,493 ,4.13,28350
Strange Angels,Lili St. Crow|Lilith Saintcrow,Paperback,978315742801,293 ,3.78,37513
Hunger,Knut Hamsun|George Egerton,Paperback,978315742802,134 ,4.09,33077
The Miracle of Forgiveness,Spencer W. Kimball,Paperback,978315742803,376 ,4.37,14553
Shadow's Edge,Brent Weeks,Mass Market Paperback,978315742804,636 ,4.27,78446
Angel,James Patterson,Paperback,978315742805,298 ,4.02,45758
This Man Confessed,Jodi Ellen Malpas,Kindle Edition,978315742806,501 ,4.41,71715
Resonance,Nelou Keramati,Paperback,978315742807,350 ,4.15,315
Eye of the Needle,Ken Follett,Paperback,978315742808,339 ,4.17,108677
First Grave on the Right,Darynda Jones,Hardcover,978315742809,310 ,4.06,63823
A Knight in Shining Armor,Jude Deveraux,Paperback,978315742810,464 ,4.22,30777
Second Foundation,Isaac Asimov,Hardcover,978315742811,256 ,4.24,116345
The Right Stuff,Tom Wolfe,Paperback,978315742812,352 ,4.24,36666
Wool Omnibus,Hugh Howey,Kindle Edition,978315742813,509 ,4.23,136754
London,Edward Rutherfurd,Paperback,978315742814,1152 ,4.06,22999
Beyond the Shadows,Brent Weeks,Mass Market Paperback,978315742815,689 ,4.29,76098
The Girl Who Loved Tom Gordon,Stephen King,Paperback,978315742816,264 ,3.57,111441
God's Spy,Juan Gomez-Jurado|James Graham,Hardcover,978315742817,368 ,3.71,2476
The Novice,Trudi Canavan,Paperback,978315742818,577 ,4.08,42356
Free Four: Tobias Tells the Divergent Knife-Throwing Scene,Veronica Roth,ebook,978315742819,43 ,4.17,90242
Infidel,Ayaan Hirsi Ali,Hardcover,978315742820,353 ,4.21,68160
Never Too Far,Abbi Glines,ebook,978315742821,193 ,4.2,107283
Stuart Little,E.B. White|Garth Williams,Paperback,978315742822,131 ,3.89,96911
The Summer Garden,Paullina Simons,Paperback,978315742823,742 ,4.12,21733
Gaudy Night,Dorothy L. Sayers,Paperback,978315742824,501 ,4.24,19689
Glass Sword,Victoria Aveyard,Hardcover,978315742825,444 ,3.93,128011
An Ember in the Ashes,Sabaa Tahir,Paperback,978315742826,446 ,4.32,127234
Bartleby the Scrivener,Herman Melville,Paperback,978315742827,64 ,3.91,36561
Tiger's Quest,Colleen Houck,Hardcover,978315742828,479 ,4.33,33785
The Mummy,Anne Rice,Paperback,978315742829,480 ,3.82,40525
Time and Again,Jack Finney,Paperback,978315742830,399 ,3.97,16284
Revelations,Melissa de la Cruz,Hardcover,978315742831,264 ,3.9,71910
Circle of Five,Jan Raymond,Kindle Edition,978315742832,352 ,4.15,297
A Hunger Like No Other,Kresley Cole,Mass Market Paperback,978315742833,356 ,4.21,57810
Sister Carrie,Theodore Dreiser,Paperback,978315742834,580 ,3.74,33492
Seduced in the Dark,C.J. Roberts,Kindle Edition,978315742835,505 ,4.3,50951
Lust for Life,Irving Stone,Paperback,978315742836,431 ,4.22,17558
The Civil War: A Narrative,Shelby Foote,Hardcover,978315742837,2934 ,4.53,6552
The Gulag Archipelago 1918-1956,Aleksandr Solzhenitsyn|Edward E. Ericson Jr.,Paperback,978315742838,472 ,4.19,14747
From Hell,Alan Moore|Eddie Campbell|Pete Mullins,Paperback,978315742839,576 ,4.16,28978
The War of the End of the World,Mario Vargas Llosa,Paperback,978315742840,568 ,4.21,7094
A Wind in the Door,Madeleine L'Engle,Mass Market Paperback,978315742841,203 ,4.05,103614
Sapiens: A Brief History of Humankind,Yuval Noah Harari,Paperback,978315742842,443 ,4.45,168108
Every Which Way But Dead,Kim Harrison,Mass Market Paperback,978315742843,501 ,4.29,61631
The Game of Kings,Dorothy Dunnett,Paperback,978315742844,543 ,4.21,6578
Wild Magic,Tamora Pierce,Paperback,978315742845,362 ,4.33,62111
The Andromeda Strain,Michael Crichton,Paperback,978315742846,327 ,3.88,194374
Quicksilver,Neal Stephenson,Paperback,978315742847,927 ,3.92,32794
Dance Dance Dance,Haruki Murakami,Paperback,978315742848,393 ,4.04,54737
Spell Bound,Rachel Hawkins,Hardcover,978315742849,327 ,4.08,53469
Under the Volcano,Malcolm Lowry,Paperback,978315742850,397 ,3.8,19576
Eon: Dragoneye Reborn,Alison Goodman,Hardcover,978315742851,531 ,3.98,50546
Wake,Lisa McMann,Hardcover,978315742852,210 ,3.75,74304
A Song of Ice and Fire,George R.R. Martin,Mass Market Paperback,978315742853,5216 ,4.64,42029
Lightning,Dean Koontz,Mass Market Paperback,978315742854,384 ,4.06,50140
The Story of My Experiments With Truth,Mahatma Gandhi,Paperback,978315742855,560 ,4.07,37489
True Believer,Nicholas Sparks,Paperback,978315742856,465 ,3.8,71216
Trickster's Queen,Tamora Pierce,Paperback,978315742857,469 ,4.29,50407
Since You've Been Gone,Morgan Matson,Hardcover,978315742858,464 ,4.16,78884
Change of Heart,Jodi Picoult,Hardcover,978315742859,448 ,3.92,96671
Stone of Tears,Terry Goodkind,Hardcover,978315742860,979 ,4.11,95145
Wyrd Sisters,Terry Pratchett,Mass Market Paperback,978315742861,265 ,4.12,77267
Ship of Magic,Robin Hobb,Mass Market Paperback,978315742862,880 ,4.14,49588
World After,Susan Ee,Paperback,978315742863,438 ,4.2,77965
Grip of the Shadow Plague,Brandon Mull,Hardcover,978315742864,477 ,4.27,72018
The Zahir,Paulo Coelho|Margaret Jull Costa,Paperback,978315742865,336 ,3.57,61168
Three Comrades,Erich Maria Remarque|Arthur Wesley Wheen,Paperback,978315742866,496 ,4.48,19708
Tell the Wolves I'm Home,Carol Rifka Brunt,Hardcover,978315742867,360 ,4.04,107010
El túnel,Ernesto Sábato,Paperback,978315742868,158 ,4.05,33633
ساق البامبو,سعود السنعوسي|Saud Alsanousi,Paperback,978315742869,400 ,4.24,44642
"Love, Stargirl",Jerry Spinelli,Hardcover,978315742870,288 ,3.81,35586
Lies,Michael  Grant,Hardcover,978315742871,447 ,4.09,55765
Cane River,Lalita Tademy,Paperback,978315742872,522 ,4.05,42859
The Heart of Aleppo: A Story of the Syrian Civil War,Ammar Habib,Kindle Edition,978315742873,252 ,4.47,214
The Name of This Book Is Secret,Pseudonymous Bosch|Gilbert Ford,Hardcover,978315742874,364 ,4.05,45523
"The Good, the Bad, and the Undead",Kim Harrison,Mass Market Paperback,978315742875,453 ,4.26,56465
Fairest,Gail Carson Levine,Hardcover,978315742876,326 ,3.87,55204
A Living Nightmare,Darren Shan,Mass Market Paperback,978315742877,272 ,4.07,46237
The Shelters of Stone,Jean M. Auel,Mass Market Paperback,978315742878,800 ,3.81,38019
Blink: The Power of Thinking Without Thinking,Malcolm Gladwell,Paperback,978315742879,296 ,3.91,407272
Arcadia,Tom Stoppard,Paperback,978315742880,97 ,4.19,17567
The Stars My Destination,Alfred Bester|Neil Gaiman,Paperback,978315742881,258 ,4.12,36450
The Kiss of Deception,Mary E. Pearson,Kindle Edition,978315742882,492 ,4.04,64370
"Look Homeward, Angel",Thomas Wolfe,Paperback,978315742883,644 ,3.94,11412
Peter and the Starcatchers,Dave Barry|Ridley Pearson|Greg Call,Paperback,978315742884,452 ,4.02,63568
The Mysterious Island,Jules Verne|Caleb Carr|Jordan Stump,Paperback,978315742885,723 ,4.09,37916
The Thief,Megan Whalen Turner,Paperback,978315742886,280 ,3.9,52621
Fear,Michael  Grant,Hardcover,978315742887,509 ,4.24,40773
Wildwood Dancing,Juliet Marillier,Hardcover,978315742888,407 ,4.09,24869
The Winner's Curse,Marie Rutkoski,ebook,978315742889,355 ,4.01,77165
The Birth of Venus,Sarah Dunant,Paperback,978315742890,427 ,3.8,86564
Reached,Ally Condie,Hardcover,978315742891,512 ,3.56,126510
The Fires of Heaven,Robert Jordan,Paperback,978315742892,912 ,4.14,114924
Uprooted,Naomi Novik,Hardcover,978315742893,435 ,4.1,107737
Mila 18,Leon Uris,Paperback,978315742894,563 ,4.28,21581
Replay,Ken Grimwood,Paperback,978315742895,311 ,4.16,23645
"Out of Sight, Out of Time",Ally Carter,Hardcover,978315742896,294 ,4.32,47067
Secrets of the Dragon Sanctuary,Brandon Mull,Hardcover,978315742897,535 ,4.36,66371
Obsidian Butterfly,Laurell K. Hamilton,Mass Market Paperback,978315742898,596 ,4.08,56581
Lucifer's Hammer,Larry Niven|Jerry Pournelle,Mass Market Paperback,978315742899,629 ,3.99,36774
Immortality,Milan Kundera,Paperback,978315742900,400 ,4.13,25877
Autobiography of a Yogi,Paramahansa Yogananda,Paperback,978315742901,520 ,4.22,36200
The House at Riverton,Kate Morton,Paperback,978315742902,599 ,3.94,87527
The Prince and the Pauper,Mark Twain|Everett H. Emerson,Paperback,978315742903,240 ,3.85,98114
The Young Elites,Marie Lu,Hardcover,978315742904,355 ,3.92,86604
Anathem,Neal Stephenson,Hardcover,978315742905,937 ,4.18,54282
Crossing to Safety,Wallace Stegner,Paperback,978315742906,368 ,4.16,31866
Prince of Wolves,Quinn Loftis,Kindle Edition,978315742907,230 ,4.05,32203
Anna Dressed in Blood,Kendare Blake,Hardcover,978315742908,316 ,3.95,85313
I've Got Your Number,Sophie Kinsella,Hardcover,978315742909,433 ,3.94,166285
Reversione: Reset the Future,Chris A. Jones,ebook,978315742910,,4.14,521
The Brothers Lionheart,Astrid Lindgren|Ilon Wikland|Jill M. Morgan,Hardcover,978315742911,231 ,4.36,24009
An Echo in the Darkness,Francine Rivers,Paperback,978315742912,461 ,4.61,36740
The Battle for Skandia,John Flanagan,Hardcover,978315742913,294 ,4.33,72310
The Complete Short Stories,Ernest Hemingway|John Hemingway|Gregory H. Hemingway|Charles Scribner Jr.,Paperback,978315742914,650 ,4.28,31730
1776,David McCullough,Paperback,978315742915,386 ,4.06,159234
The End,Lemony Snicket|Brett Helquist,Hardcover,978315742916,337 ,4,77442
Sentinel,Jennifer L. Armentrout,Paperback,978315742917,297 ,4.48,29110
The Solitaire Mystery: A Novel About Family and Destiny,Jostein Gaarder|Sarah Jane Hails,Hardcover,978315742918,309 ,4.16,18613
Forsaken,Lisa Renee Jones,Paperback,978315742919,384 ,4.12,1950
Perelandra,C.S. Lewis,Paperback,978315742920,288 ,3.98,34678
Fool's Fate,Robin Hobb,Paperback,978315742921,914 ,4.4,54378
Life Song,Christine M. Knight,Paperback,978315742922,338 ,4.23,74
Night Pleasures,Sherrilyn Kenyon,Hardcover,978315742923,309 ,4.22,65684
The Hate U Give,Angie Thomas|Angie Thomas,Hardcover,978315742924,444 ,4.56,194415
A Visit from the Goon Squad,Jennifer Egan,Hardcover,978315742925,288 ,3.65,154967
Monstrous Regiment,Terry Pratchett,Paperback,978315742926,496 ,4.2,52532
The Tale of the Body Thief,Anne Rice,Paperback,978315742927,468 ,3.71,75346
Through the Ever Night,Veronica Rossi,Hardcover,978315742928,341 ,4.16,64360
The Statistical Probability of Love at First Sight,Jennifer E. Smith,Hardcover,978315742929,236 ,3.79,102294
Making Faces,Amy Harmon,ebook,978315742930,405 ,4.35,48507
Magic Study,Maria V. Snyder,Hardcover,978315742931,392 ,4.06,61884
The Rise and Fall of the Third Reich: A History of Nazi Germany,William L. Shirer,Mass Market Paperback,978315742932,1614 ,4.16,80424
The Ersatz Elevator,Lemony Snicket|Brett Helquist,Hardcover,978315742933,259 ,4.02,107587
Ask the Dust,John Fante|Charles Bukowski,Paperback,978315742934,165 ,4.13,23410
The Trumpet of the Swan,E.B. White|Fred Marcellino,Paperback,978315742935,252 ,4.07,61077
The Testament,John Grisham,Paperback,978315742936,535 ,3.84,92234
Blood and Chocolate,Annette Curtis Klause,Mass Market Paperback,978315742937,264 ,3.77,36196
Hunger,Michael  Grant,Hardcover,978315742938,590 ,4.02,70403
A Northern Light,Jennifer Donnelly,Paperback,978315742939,396 ,3.83,34458
Twenties Girl,Sophie Kinsella,Hardcover,978315742940,435 ,3.82,137761
Pollyanna,Eleanor H. Porter,Paperback,978315742941,304 ,3.97,69161
A Hero of Our Time,Mikhail Lermontov|Paul Foote,Paperback,978315742942,185 ,4.11,39353
Narrative of the Life of Frederick Douglass,Frederick Douglass,Paperback,978315742943,158 ,3.98,76803
Saphirblau,Kerstin Gier,Hardcover,978315742944,389 ,4.18,61057
Bet Me,Jennifer Crusie,Paperback,978315742945,391 ,3.93,79754
The Last Wish,Andrzej Sapkowski|Danusia Stok,Hardcover,978315742946,384 ,4.21,75076
The Garden of Eden,Ernest Hemingway,Paperback,978315742947,248 ,3.74,15061
Angel,L.A. Weatherly,Paperback,978315742948,512 ,3.88,30666
The Plains of Passage,Jean M. Auel,Mass Market Paperback,978315742949,784 ,3.78,45237
Tithe,Holly Black,Paperback,978315742950,332 ,3.73,64597
Blackwood Farm,Anne Rice,Paperback,978315742951,774 ,3.85,28668
Lucky,Alice Sebold,Paperback,978315742952,243 ,3.78,86080
"The History of Tom Jones, a Foundling",Henry Fielding|Thomas Keymer|Alice Wakely,Paperback,978315742953,975 ,3.73,29193
Attachments,Rainbow Rowell,Hardcover,978315742954,323 ,3.92,140677
The Sign of Four,Arthur Conan Doyle|Peter Ackroyd|Ed Glinert,Paperback,978315742955,129 ,3.95,82855
Equal Rites,Terry Pratchett,Paperback,978315742956,228 ,4.01,116352
"Thirst No. 1: The Last Vampire, Black Blood, and Red Dice",Christopher Pike,Paperback,978315742957,594 ,3.82,31900
The Cay,Theodore Taylor,Paperback,978315742958,156 ,3.75,29193
The Indian in the Cupboard,Lynne Reid Banks,Paperback,978315742959,192 ,3.9,87470
Coming Storm,David J Morden,Paperback,978315742960,208 ,4.23,624
The Crossing,Cormac McCarthy,Hardcover,978315742961,426 ,4.12,26367
The Dragonbone Chair,Tad Williams,Paperback,978315742962,672 ,3.96,53848
Starters,Lissa Price,Hardcover,978315742963,352 ,3.91,38096
Duma Key,Stephen King,Hardcover,978315742964,611 ,3.94,87467
Trickster's Choice,Tamora Pierce,Hardcover,978315742965,453 ,4.28,52357
سینوهه,Mika Waltari|ذبیح‌الله منصوری,Hardcover,978315742966,904 ,4.09,14773
Soul Music,Terry Pratchett,Hardcover,978315742967,424 ,4.03,56266
Alice in Zombieland,Gena Showalter,Hardcover,978315742968,404 ,4.04,35950
Master and Commander,Patrick O'Brian,Paperback,978315742969,411 ,4.11,39288
Postmortem,Patricia Cornwell,Paperback,978315742970,342 ,4.01,187820
Burr,Gore Vidal,Paperback,978315742971,430 ,4.07,7406
The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams and Reaching Your Destiny,Robin S. Sharma,Paperback,978315742972,208 ,3.8,78247
Nation,Terry Pratchett,Hardcover,978315742973,367 ,4.06,28653
The Goddess Test,Aimee Carter,Paperback,978315742974,293 ,3.82,49849
Oblomov,Ivan Goncharov|Stephen Pearl|Galya Diment,Paperback,978315742975,586 ,4.02,24106
One Grave at a Time,Jeaniene Frost,Mass Market Paperback,978315742976,358 ,4.25,40164
Washington Square,Henry James|Michael Cunningham,Paperback,978315742977,240 ,3.67,15951
Prey,Michael Crichton,Paperback,978315742978,507 ,3.74,146773
"Whitney, My Love",Judith McNaught,Paperback,978315742979,708 ,4.18,27150
Percy Jackson's Greek Gods,Rick Riordan|John Rocco,Kindle Edition,978315742980,417 ,4.5,37981
The Education of Little Tree,Forrest Carter,Paperback,978315742981,228 ,4.1,12855
Team of Rivals: The Political Genius of Abraham Lincoln,Doris Kearns Goodwin|Suzanne Toren,Paperback,978315742982,916 ,4.28,125207
Witches Abroad,Terry Pratchett,Mass Market Paperback,978315742983,374 ,4.22,61499
Vampire Origins - Project Ichorous,Riley Banks,Paperback,978315742984,377 ,3.92,142
Across the Nightingale Floor,Lian Hearn,Paperback,978315742985,305 ,4.06,31583
When Nietzsche Wept,Irvin D. Yalom,Paperback,978315742986,310 ,4.28,31786
Hollow City,Ransom Riggs,Hardcover,978315742987,400 ,4.07,156834
In and Out of Step,Christine M. Knight,Paperback,978315742988,482 ,4.14,91
Torment,Lindsay Anne Kendal,Paperback,978315742989,308 ,3.98,338
Tortilla Flat,John Steinbeck,Hardcover,978315742990,256 ,3.83,37998
Revelations,Lindsay Anne Kendal,Paperback,978315742991,300 ,4,273
A Million Suns,Beth Revis,Hardcover,978315742992,386 ,4.03,49378
"The Holy Bible: New American Standard Version, NASB",Anonymous,Hardcover,978315742993,953 ,4.58,4276
The Gift of the Magi,O. Henry|Lisbeth Zwerger,Hardcover,978315742994,32 ,4.08,74498
Dragons of Autumn Twilight,Margaret Weis|Tracy Hickman,Paperback,978315742995,444 ,4,96513
The Love Song of J. Alfred Prufrock and Other Poems,T.S. Eliot,Hardcover,978315742996,44 ,4.32,16116
A Man Called Ove,Fredrik Backman|Henning Koch,Hardcover,978315742997,337 ,4.35,372276
Oranges Are Not the Only Fruit,Jeanette Winterson,Paperback,978315742998,176 ,3.74,46290
"Fullmetal Alchemist, Vol. 1",Hiromu Arakawa|Akira Watanabe,Paperback,978315742999,192 ,4.49,102481
Trinity,Leon Uris,Paperback,978315743000,912 ,4.24,18193
Pandora,Anne Rice,Paperback,978315743001,383 ,3.74,38965
Housekeeping,Marilynne Robinson,Paperback,978315743002,219 ,3.82,34193
Miss Lonelyhearts / The Day of the Locust,Nathanael West,Paperback,978315743003,247 ,3.91,8773
A Memory of Light,Robert Jordan|Brandon Sanderson,Hardcover,978315743004,909 ,4.51,89385
The Light Fantastic,Terry Pratchett|Террі Пратчетт|Юлія Прокопець|Творча майстерня «Аґрафка»,Mass Market Paperback,978315743005,241 ,3.96,99823
Undead and Unwed,MaryJanice Davidson,Mass Market Paperback,978315743006,255 ,3.82,49666
The Passion,Jeanette Winterson,Paperback,978315743007,176 ,4.11,16377
Call Me by Your Name,André Aciman,Hardcover,978315743008,248 ,4.29,84033
Elsewhere,Gabrielle Zevin,Paperback,978315743009,277 ,3.91,45696
Utopia,Thomas More|Paul Turner,Paperback,978315743010,135 ,3.52,50693
Just Kids,Patti Smith,Hardcover,978315743011,304 ,4.13,141506
Plague,Michael  Grant,Hardcover,978315743012,494 ,4.18,45132
The Mysterious Benedict Society and the Perilous Journey,Trenton Lee Stewart|Diana Sudyka,Hardcover,978315743013,440 ,4.21,37669
Towers of Midnight,Robert Jordan|Brandon Sanderson,Hardcover,978315743014,863 ,4.42,107740
Rosemary's Baby,Ira Levin,Hardcover,978315743015,308 ,3.98,93557
The Fifth Elephant,Terry Pratchett,Paperback,978315743016,464 ,4.26,52127
The 13½ Lives of Captain Bluebear,Walter Moers|John Brownjohn,Paperback,978315743017,704 ,4.22,15534
First Test,Tamora Pierce,Mass Market Paperback,978315743018,240 ,4.25,46259
Big Little Lies,Liane Moriarty,Hardcover,978315743019,460 ,4.24,530152
Another Roadside Attraction,Tom Robbins,Paperback,978315743020,366 ,3.98,29420
Harold and the Purple Crayon,Crockett Johnson,Hardcover,978315743021,64 ,4.25,114799
Eighth Grade Bites,Heather Brewer,Hardcover,978315743022,182 ,3.92,32938
